Time 	  T Cryostat 	 T Sample
1474508090.26	4.235	4.249
1474508120.54	4.236	4.249
1474508150.97	4.237	4.249
1474508181.23	4.236	4.249
1474508211.52	4.236	4.248
1474508241.84	4.236	4.249
1474508272.09	4.236	4.249
1474508302.34	4.236	4.249
1474508332.73	4.236	4.249
1474508362.99	4.235	4.249
1474508393.21	4.235	4.25
1474508423.53	4.235	4.25
1474508453.75	4.235	4.249
1474508483.99	4.235	4.25
1474508514.24	4.236	4.249
1474508544.49	4.237	4.248
1474508574.74	4.235	4.248
1474508604.99	4.235	4.249
1474508635.27	4.236	4.249
1474508665.58	4.235	4.249
1474508695.85	4.235	4.25
1474508726.25	4.236	4.249
1474508756.53	4.237	4.249
1474508786.84	4.236	4.249
1474508817.11	4.235	4.248
1474508847.35	4.235	4.249
1474508877.57	4.236	4.248
1474508908.03	4.236	4.251
1474508938.31	4.235	4.249
1474508968.56	4.234	4.248
1474508998.91	4.235	4.25
1474509029.27	4.234	4.248
1474509059.51	4.235	4.248
1474509089.74	4.236	4.248
1474509119.97	4.236	4.249
1474509150.29	4.235	4.249
1474509180.76	4.236	4.249
1474509211.05	4.237	4.249
1474509241.54	4.235	4.248
1474509272.04	4.235	4.249
1474509302.36	4.235	4.249
1474509332.73	4.235	4.248
1474509363.01	4.236	4.248
1474509393.3	4.237	4.249
1474509423.53	4.235	4.249
1474509453.79	4.235	4.249
1474509484.07	4.236	4.249
1474509514.42	4.234	4.249
1474509544.76	4.235	4.249
1474509575.02	4.236	4.249
1474509605.27	4.235	4.249
1474509635.55	4.237	4.249
1474509665.79	4.236	4.248
1474509696.06	4.235	4.248
1474509726.29	4.235	4.25
1474509756.53	4.235	4.249
1474509786.81	4.235	4.249
1474509817.24	4.235	4.248
1474509847.53	4.235	4.249
1474509877.78	4.235	4.249
1474509908.03	4.237	4.249
1474509938.28	4.236	4.249
1474509968.55	4.236	4.249
1474509998.86	4.235	4.249
1474510029.12	4.236	4.249
1474510059.39	4.236	4.249
1474510089.64	4.236	4.248
1474510119.89	4.236	4.249
1474510150.11	4.236	4.249
1474510180.39	4.236	4.249
1474510210.64	4.235	4.249
1474510240.89	4.236	4.249
1474510271.28	4.235	4.249
1474510301.54	4.236	4.248
1474510331.82	4.237	4.248
1474510362.25	4.236	4.249
1474510392.5	4.236	4.249
1474510422.75	4.237	4.249
1474510453.03	4.236	4.249
1474510483.32	4.235	4.249
1474510513.61	4.236	4.249
1474510543.96	4.235	4.248
1474510574.3	4.236	4.249
1474510604.54	4.236	4.249
1474510634.83	4.236	4.249
1474510665.14	4.235	4.249
1474510695.4	4.235	4.249
1474510725.76	4.235	4.248
1474510756.08	4.235	4.248
1474510786.45	4.235	4.249
1474510816.79	4.236	4.249
1474510847.09	4.236	4.249
1474510877.36	4.236	4.249
1474510907.64	4.235	4.249
1474510937.87	4.236	4.249
1474510968.15	4.235	4.249
1474510998.59	4.237	4.248
1474511028.87	4.235	4.248
1474511059.16	4.236	4.249
1474511089.37	4.236	4.248
1474511119.66	4.237	4.249
1474511149.88	4.236	4.248
1474511180.16	4.235	4.249
1474511210.53	4.235	4.249
1474511240.81	4.235	4.249
